Year,Month,Day,Variable,eco1,eco2
2016,11,25,PAR,73.4515606,146.9031212
2016,11,26,PAR,84.90073922,169.8014784
2016,11,27,PAR,85.88579425,171.7715885
2016,11,28,PAR,111.0576419,222.1152838
2016,11,29,PAR,117.3728136,234.7456272
2016,11,30,PAR,101.846353,203.692706
2016,12,1,PAR,110.6057485,221.211497
2016,12,2,PAR,108.2886062,216.5772124
2016,12,3,PAR,72.60761339,145.2152268
2016,12,4,PAR,85.00192977,170.0038595
2016,12,5,PAR,68.65349171,137.3069834
2016,12,6,PAR,69.99195428,139.9839086
2016,12,7,PAR,73.7913939,147.5827878
2016,12,8,PAR,62.93674698,125.873494
2016,12,9,PAR,71.87382029,143.7476406
2016,12,10,PAR,69.18094672,138.3618934
2016,12,11,PAR,58.63384799,117.267696
2016,12,12,PAR,52.90391456,105.8078291
2016,12,13,PAR,80.3425043,160.6850086
2016,12,14,PAR,70.30813708,140.6162742
2016,12,15,PAR,58.94405619,117.8881124
2016,12,16,PAR,57.65141901,115.302838
2016,12,17,PAR,59.07819422,118.1563884
2016,12,18,PAR,56.81244595,113.6248919
2016,12,19,PAR,55.26912443,110.5382489
2016,12,20,PAR,70.29488225,140.5897645
2016,12,21,PAR,67.15397466,134.3079493
2016,12,22,PAR,68.86323982,137.7264796
2016,12,23,PAR,65.4418594,130.8837188
2016,12,24,PAR,66.60135826,133.2027165
2016,12,25,PAR,72.537323,145.074646
2016,12,26,PAR,56.65859276,113.3171855
2016,12,27,PAR,54.6243265,109.248653
2016,12,28,PAR,55.86435274,111.7287055
2016,12,29,PAR,65.57224453,131.1444891
2016,12,30,PAR,73.76990834,147.5398167
2016,12,31,PAR,74.05498763,148.1099753
2017,1,1,PAR,72.50241177,145.0048235
2017,1,2,PAR,69.34527272,138.6905454
2017,1,3,PAR,55.12336443,110.2467289
2017,1,4,PAR,74.23479275,148.4695855
2017,1,5,PAR,51.26656977,102.5331395
2017,1,6,PAR,67.66058657,135.3211731
2017,1,7,PAR,64.59024597,129.1804919
2017,1,8,PAR,80.23680858,160.4736172
2017,1,9,PAR,87.11289854,174.2257971
2017,1,10,PAR,63.04878738,126.0975748
2017,1,11,PAR,94.37509442,188.7501888
2017,1,12,PAR,62.46479842,124.9295968
2017,1,13,PAR,75.73871589,151.4774318
2017,1,14,PAR,64.96641694,129.9328339
2017,1,15,PAR,107.3531281,214.7062562
2017,1,16,PAR,71.49166433,142.9833287
2017,1,17,PAR,84.06990862,168.1398172
2017,1,18,PAR,94.34547463,188.6909493
2017,1,19,PAR,132.7094568,265.4189136
2017,1,20,PAR,107.1013099,214.2026198
2017,1,21,PAR,113.6374415,227.274883
